level,pos,word,gloss,example
A2,noun,hotel,a place where travellers pay to sleep,They stayed in a small hotel.
A2,noun,journalist,a person who writes news stories,The journalist asked me three questions.
A2,noun,adult,a fully grown person,The tickets cost ten pounds for adults.
A2,noun,animal,"a living thing, not a plant",What is your favourite animal?
A2,noun,bank,a place that keeps money safe,The bank opens at nine.
A2,noun,bathroom,a room with a bath or shower,The bathroom is upstairs.
A2,noun,cinema,a place where you watch films,We saw a film at the cinema.
A2,noun,driver,a person who drives a vehicle,The bus driver was very kind.
A2,noun,flat,a set of rooms for living in,They live in a small flat.
A2,noun,garden,land with plants around a house,The children are playing in the garden.
A2,noun,hour,a period of sixty minutes,The film lasts two hours.
A2,noun,internet,the world computer network,I looked for the information on the internet.
A2,noun,letter,a written message sent to someone,She wrote a letter to her grandmother.
A2,noun,meal,food eaten at one time,Dinner is my favourite meal.
A2,noun,museum,a building with interesting old things,The museum is free on Sundays.
A2,noun,newspaper,paper with daily news stories,He buys a newspaper every day.
A2,noun,ticket,a paper that lets you travel or enter,I bought two tickets for the concert.
A2,verb,bake,to cook food in an oven,She baked a cake for my birthday.
A2,verb,become,to begin to be something,He became a doctor last year.
A2,verb,begin,to start doing something,The film begins at eight.
A2,verb,believe,to think something is true,I believe his story.
A2,verb,belong,to be in the right place or group,This book belongs to me.
A2,verb,boil,to heat liquid until it bubbles,Boil some water for the tea.
A2,verb,borrow,"to take and use, then return",Can I borrow your pen?
A2,verb,bother,to annoy someone or make effort,Don't bother to cook tonight.
A2,verb,break,to damage something into pieces,"Be careful, don't break the glass."
A2,verb,bring,to carry something here,Bring your books to class tomorrow.
A2,verb,build,to make by putting parts together,They built a new bridge.
A2,verb,camp,to sleep outside in a tent,We camped near the lake.
A2,verb,carry,to hold and take something,He carried the bags upstairs.
A2,verb,catch,to take hold of something moving,She caught the ball with one hand.
A2,verb,change,to make or become different,I changed my clothes after school.
A2,verb,earn,to get money for work,She earns money in a shop.
A2,verb,enjoy,to get pleasure from something,We enjoyed the concert very much.
A2,verb,enter,to go into a place,Enter the room quietly.
A2,verb,explain,to make something clear,The teacher explained the exercise.
A2,verb,explore,to travel and discover a place,We explored the old town.
A2,verb,fail,to not pass a test,He failed his driving test.
A2,verb,fill,to make something full,Fill the bottle with water.
A2,verb,improve,to make or become better,Her English improved this year.
A2,verb,include,to have as a part,The price includes breakfast.
A2,verb,invite,to ask someone to come,She invited me to her party.
A2,verb,join,to become a member or take part,He joined the football team.
A2,verb,keep,to continue to have something,You can keep the pen.
A2,verb,laugh,to make happy sounds,The film made us laugh.
A2,verb,lend,to give something for a time,I lent my bike to my friend.
A2,verb,agree,to have the same opinion,I agree with you.
A2,verb,arrive,to reach a place,The train arrived at ten.
A2,verb,choose,to pick from options,Choose a colour you like.
A2,verb,dance,to move your body to music,They danced all evening.
A2,verb,decide,to make a choice,We decided to stay at home.
A2,verb,drive,to control a motor vehicle,She drives to work every day.
A2,verb,forget,to not remember something,Don't forget your keys.
A2,verb,hope,to want something to happen,I hope you feel better soon.
A2,verb,leave,to go away from a place,We leave home at eight.
A2,verb,remember,to keep something in your mind,I remember my first day at school.
A2,verb,visit,to go to see a person or place,We visited our grandmother on Sunday.
A2,adjective,attractive,pleasant or beautiful to look at,The hotel has an attractive garden.
A2,adjective,available,free to be used or bought,Tickets are available online.
A2,adjective,awesome,extremely good or impressive,The view from the bridge was awesome.
A2,adjective,awful,very bad or unpleasant,The weather was awful yesterday.
A2,adjective,bored,feeling tired of inactivity,The children were bored at home.
A2,adjective,boring,not interesting or exciting,The lesson was boring.
A2,adjective,brave,ready to face danger without fear,The brave girl climbed the wall.
A2,adjective,brilliant,extremely good or clever,That's a brilliant idea.
A2,adjective,broken,damaged and not working,My bike is broken.
A2,adjective,busy,having a lot to do,The street is very busy today.
A2,adjective,careful,taking care to avoid problems,Be careful with that glass.
A2,adjective,empty,with nothing inside,The bottle is empty.
A2,adjective,excellent,extremely good; of very high quality,The meal was excellent.
A2,adjective,excited,feeling happy about something coming,The children are excited about the trip.
A2,adjective,exciting,making you feel excited,It was an exciting match.
A2,adjective,expensive,costing a lot of money,This camera is too expensive.
A2,adjective,famous,known by many people,The castle is very famous.
A2,adjective,fantastic,extremely good; wonderful,We had a fantastic holiday.
A2,adjective,ill,not in good health,My brother is ill today.
A2,adjective,important,having great value or effect,This exam is very important.
A2,adjective,interested,wanting to know more,She is interested in music.
A2,adjective,interesting,keeping your attention,The museum is interesting.
A2,adjective,lucky,having good luck,I was lucky and won a prize.
A2,adjective,married,having a husband or wife,They got married last year.
A2,adjective,noisy,making a lot of noise,The street is too noisy at night.
A2,adjective,afraid,feeling fear; frightened,The little girl is afraid of dogs.
A2,adjective,cheap,not costing much money,The tickets were very cheap.
A2,adjective,cloudy,covered with clouds,It is cloudy and cold today.
A2,adjective,dark,with little or no light,It gets dark early in winter.
A2,adjective,friendly,kind and pleasant to people,The people in the shop are friendly.
A2,adverb,away,to or at another place,The station is two kilometres away.
A2,adverb,badly,in a bad way,He played badly and lost the game.
A2,adverb,carefully,in a careful way,"Drive carefully, the roads are wet."
A2,adverb,certainly,without any doubt,I will certainly come to your party.
A2,adverb,easily,in an easy way,She passed the exam easily.
A2,adverb,especially,more than usual or others,"I love fruit, especially apples."
A2,adverb,everywhere,in all places,We looked for the keys everywhere.
A2,adverb,exactly,in an exact way; precisely,The train left at exactly nine.
A2,adverb,finally,after a long time; at last,The bus finally arrived at six.
A2,adverb,immediately,at once; without delay,Come here immediately.
A2,adverb,instead,in place of something else,"There was no tea, so I drank coffee instead."
A2,adverb,maybe,"possibly, but not certainly",Maybe it will rain tomorrow.
A2,adverb,nearly,almost but not quite,It is nearly ten o'clock.
A2,adverb,quite,fairly; to some degree,The film was quite good.
A2,adverb,soon,in a short time,See you soon.
A2,adverb,already,before now or before expected,"When I arrived, he was already there."
A2,adverb,around,in or to many places; about,We walked around the old town.
A2,adverb,ever,at any time,Do you ever go to the beach?
A2,adverb,still,continuing until now,It is still raining.
A2,adverb,yet,until now; up to this time,Is the shop open yet?
B1,noun,advantage,something that helps you succeed,Speaking English is a big advantage when you travel.
B1,noun,adventure,an exciting and sometimes dangerous experience,They had many adventures during their trip across Africa.
B1,noun,advertisement,a notice that tries to sell something,I saw an advertisement for a new phone on television.
B1,noun,apology,words you say to show you are sorry,He wrote her an apology after their argument.
B1,noun,appearance,the way that someone or something looks,She cares a lot about her appearance.
B1,noun,appointment,a planned meeting at a fixed time,I have a doctor's appointment on Tuesday morning.
B1,noun,argument,an angry discussion between people who disagree,They had an argument about money last night.
B1,noun,arrangement,a plan or preparation for something,We made arrangements to meet outside the cinema.
B1,noun,atmosphere,the feeling of a place or situation,The restaurant has a warm and friendly atmosphere.
B1,noun,audience,the people who watch or listen to a show,The audience clapped loudly at the end of the concert.
B1,noun,award,a prize given for doing something well,She won an award for her first novel.
B1,noun,background,"a person's family, education and experience",The course is open to people from all backgrounds.
B1,noun,behaviour,the way someone acts or does things,His behaviour at school has improved this year.
B1,noun,benefit,a good or helpful result of something,Regular exercise has many benefits for your health.
B1,noun,colleague,a person you work with,My colleagues and I often have lunch together.
B1,noun,community,the people living in the same area,The whole community helped to clean the park.
B1,noun,competition,a contest to find the best person or team,She entered a singing competition at school.
B1,noun,confidence,belief in yourself or in your abilities,He has the confidence to speak in public.
B1,noun,crime,an illegal action or activity,Crime in the city centre has fallen this year.
B1,noun,culture,"the customs, arts and beliefs of a society",I love learning about the culture of other countries.
B1,noun,decision,a choice you make after thinking,"It was a difficult decision, but the right one."
B1,noun,development,the process of growing or improving,The development of the new town centre took five years.
B1,noun,disadvantage,something that makes success more difficult,The main disadvantage of the job is the long journey.
B1,noun,discount,a reduction in the usual price,Students get a ten per cent discount at this shop.
B1,noun,environment,the natural world around us,We must do more to protect the environment.
B1,noun,evidence,facts showing that something is true,There is no evidence that he stole the money.
B1,noun,experiment,a scientific test to discover something,The students did an experiment in the chemistry lab.
B1,noun,friendship,the relationship between friends,Their friendship began at primary school.
B1,noun,government,the group of people who govern a country,The government plans to build more affordable houses.
B1,noun,habit,something you do regularly without thinking,Biting your nails is a bad habit.
B1,noun,opportunity,a chance to do something you want,This job is a great opportunity for you.
B1,noun,permission,allowing someone to do something,You need permission to park here.
B1,noun,pollution,damage to the environment from harmful substances,Air pollution is a serious problem in big cities.
B1,noun,pressure,stress caused by demands or worries,He works well under pressure.
B1,noun,responsibility,a duty to deal with something or someone,It is my responsibility to lock the office at night.
B1,noun,ability,the power or skill to do something,She has the ability to learn languages quickly.
B1,noun,attention,notice or interest given to something,Please pay attention to what the teacher says.
B1,noun,cause,the thing that makes something happen,The cause of the fire is still unknown.
B1,noun,century,a period of one hundred years,The castle is more than three centuries old.
B1,noun,character,the qualities that make up a person's nature,He has a strong and honest character.
B1,noun,choice,the act of choosing between possibilities,You have a choice between two courses.
B1,noun,condition,the state that something is in,The old house is in very good condition.
B1,noun,danger,the possibility of harm or death,The climbers were in serious danger.
B1,noun,demand,a strong request or need for something,There is a growing demand for cheap flights.
B1,noun,difficulty,a problem or something hard to do,I had difficulty understanding his accent.
B1,noun,effect,a change that results from something,The new law had an immediate effect.
B1,noun,knowledge,what a person knows about something,Her knowledge of history is impressive.
B1,noun,opinion,what you think or believe about something,Everyone has a different opinion about the film.
B1,noun,purpose,the reason something is done or exists,The purpose of the meeting is to discuss prices.
B1,noun,success,achieving what you wanted to achieve,Hard work is the key to success.
B1,verb,accept,to agree to take something offered,She accepted the job offer immediately.
B1,verb,advise,to tell someone what they should do,The doctor advised him to rest for a week.
B1,verb,apologize,to say you are sorry for something,He apologized for arriving late to the meeting.
B1,verb,arrange,to plan or organize something,We arranged a surprise party for her birthday.
B1,verb,avoid,to stay away from something or someone,I try to avoid driving in the city centre.
B1,verb,cancel,to decide that something will not happen,They cancelled the match because of the rain.
B1,verb,compare,to examine things to see how they differ,Compare the prices before you buy anything.
B1,verb,complain,to say that you are not satisfied,Customers complained about the slow service.
B1,verb,consider,to think about something carefully,We are considering moving to a bigger flat.
B1,verb,describe,to say what something or someone is like,Can you describe the man you saw?
B1,verb,destroy,to damage something so badly it cannot be used,The fire destroyed most of the old building.
B1,verb,develop,to grow or make something grow,The company plans to develop a new product.
B1,verb,disagree,to have a different opinion,I disagree with you about the new rules.
B1,verb,disappear,to become impossible to see or find,My keys have disappeared from my bag.
B1,verb,discover,to find something for the first time,Scientists have discovered a new kind of plant.
B1,verb,discuss,to talk about something with other people,We discussed the problem for over an hour.
B1,verb,encourage,to give someone confidence to do something,My parents always encouraged me to study music.
B1,verb,expect,to think that something will happen,I expect the train will be late again.
B1,verb,express,to show your thoughts or feelings in words,She expressed her thanks with a card.
B1,verb,imagine,to form a picture in your mind,Imagine living on an island in the sea.
B1,verb,increase,to become or make something larger,Prices have increased by ten per cent this year.
B1,verb,manage,to succeed in doing something difficult,We managed to finish the work on time.
B1,verb,persuade,to make someone agree by giving reasons,She persuaded me to join the gym with her.
B1,verb,prefer,to like one thing more than another,I prefer tea to coffee in the morning.
B1,verb,prevent,to stop something from happening,Good locks can prevent most burglaries.
B1,verb,promise,to say you will certainly do something,He promised to help me with my homework.
B1,verb,protect,to keep someone or something safe,This cream protects your skin from the sun.
B1,verb,realize,to suddenly understand or become aware,I realized that I had left my phone at home.
B1,verb,recommend,to say that something is good or suitable,Can you recommend a good restaurant near here?
B1,verb,refuse,to say no to something offered or asked,He refused to answer any questions.
B1,verb,add,to put something together with something else,Add some salt to the soup and stir.
B1,verb,deal,to take action to handle a problem,Our staff will deal with your complaint quickly.
B1,verb,depend,to be decided by something else,The price depends on the size of the room.
B1,verb,exist,to be present in the real world,Many people believe that ghosts do not exist.
B1,verb,mention,to speak about something briefly,She mentioned that she might change jobs.
B1,verb,mind,to feel unhappy or annoyed about something,I don't mind waiting a few minutes.
B1,verb,remain,to stay in the same place or state,Please remain seated until the plane stops.
B1,verb,replace,to put something new in place of something,We need to replace the old washing machine.
B1,verb,solve,to find an answer to a problem,They solved the problem by working together.
B1,verb,suppose,to think that something is probably true,I suppose she will arrive on the next train.
B1,adjective,amazed,very surprised by something,I was amazed by how much the town had changed.
B1,adjective,amazing,causing great surprise or wonder,The view from the mountain was amazing.
B1,adjective,anxious,worried and nervous about something,She felt anxious before the exam.
B1,adjective,ashamed,feeling guilty about something you did,He was ashamed of his behaviour at the party.
B1,adjective,aware,knowing about a situation or fact,Are you aware of the new parking rules?
B1,adjective,calm,peaceful and not worried or excited,Try to stay calm during the interview.
B1,adjective,confident,sure about your own abilities,She feels confident about passing the test.
B1,adjective,curious,wanting to know or learn something,I'm curious about what happened next.
B1,adjective,disabled,having a condition that limits physical or mental activities,The hotel has good facilities for disabled guests.
B1,adjective,disappointed,sad because something was not as expected,He was disappointed with his exam results.
B1,adjective,familiar,well known or easy to recognise,"Her face looks familiar, but I can't remember her name."
B1,adjective,fascinating,so interesting that it holds your attention,The museum has a fascinating collection of old coins.
B1,adjective,formal,official or following accepted rules,You should wear formal clothes to the interview.
B1,adjective,grateful,feeling or showing thanks,I'm very grateful for all your help.
B1,adjective,honest,always telling the truth,An honest person will return lost money.
B1,adjective,huge,extremely large in size or amount,They live in a huge house near the park.
B1,adjective,independent,not depending on other people,She is very independent for her age.
B1,adjective,intelligent,able to learn and understand quickly,Dolphins are very intelligent animals.
B1,adjective,nervous,worried or afraid about something,I always feel nervous before flying.
B1,adjective,obvious,easy to see or understand,It was obvious that he was telling a lie.
B1,adjective,ordinary,not special or unusual,It was just an ordinary day at work.
B1,adjective,pleasant,nice and enjoyable,We had a pleasant evening with old friends.
B1,adjective,polite,having good manners,The staff were polite and helpful.
B1,adjective,reliable,able to be trusted or depended on,This car is old but very reliable.
B1,adjective,unexpected,not expected and surprising,His sudden resignation was completely unexpected.
B1,adjective,certain,"sure about something, or particular but unnamed",I'm certain that I locked the door.
B1,adjective,natural,"existing in nature, not made by people",The country is rich in natural beauty.
B1,adjective,patient,able to wait calmly without getting angry,You need to be patient with young children.
B1,adjective,recent,having happened not long ago,There has been a lot of recent interest in the story.
B1,adjective,typical,having the usual qualities of a type,It was a typical English summer: wet and cold.
B1,adverb,abroad,in or to another country,She lived abroad for five years.
B1,adverb,absolutely,completely and totally,The meal was absolutely delicious.
B1,adverb,completely,in every way or to the full degree,I completely forgot about the meeting.
B1,adverb,definitely,without any doubt,I will definitely be there on Saturday.
B1,adverb,directly,in a direct line or way,The bus goes directly to the airport.
B1,adverb,eventually,"in the end, after a long time",He eventually found a job he enjoyed.
B1,adverb,fairly,to a moderate degree; quite,The test was fairly easy.
B1,adverb,fortunately,in a lucky way,"Fortunately, nobody was hurt in the accident."
B1,adverb,hardly,almost not; barely,I hardly know anyone at this party.
B1,adverb,however,used to introduce a contrast,"The hotel was expensive; however, it was very comfortable."
B1,adverb,mainly,for the most part,The audience was mainly young people.
B1,adverb,obviously,in a way that is easy to see,"Obviously, we can't afford a new car this year."
B1,adverb,rather,to some degree; quite,The film was rather boring.
B1,adverb,somehow,in some way that is not clear,We somehow got lost on the way home.
B1,adverb,suddenly,quickly and unexpectedly,It suddenly started to rain heavily.
B1,adverb,extremely,to a very high degree,The exam was extremely difficult.
B1,adverb,generally,usually or in most cases,The weather here is generally mild.
B1,adverb,normally,in the usual way,I normally walk to work.
B1,adverb,particularly,especially or more than usual,I particularly enjoyed the last chapter.
B1,adverb,possibly,perhaps; used to show something might be true,Could you possibly help me with this box?
B2,noun,access,the ability or right to use or reach something,Students have access to the library at all times.
B2,noun,achievement,something done successfully with effort or skill,Finishing the marathon was her greatest achievement.
B2,noun,analysis,careful study of something to understand it,The analysis of the results took several weeks.
B2,noun,anxiety,a strong feeling of worry or fear,Waiting for exam results can cause a lot of anxiety.
B2,noun,applicant,"a person who formally requests something, such as a job",There were over fifty applicants for the position.
B2,noun,approach,a way of dealing with something,We need a new approach to this problem.
B2,noun,aspect,one part or feature of a situation,Safety is the most important aspect of the job.
B2,noun,asset,something valuable that a person or company owns,Her experience is a real asset to the team.
B2,noun,assumption,something accepted as true without proof,His argument is based on a false assumption.
B2,noun,awareness,knowledge or understanding of a subject,The campaign raised awareness of the disease.
B2,noun,bias,an unfair preference for or against something,The report showed a clear bias against young workers.
B2,noun,campaign,a planned series of activities to achieve something,They launched a campaign to save the local hospital.
B2,noun,capacity,the amount something can hold or produce,The stadium has a capacity of forty thousand people.
B2,noun,circumstance,a condition or fact connected with an event,Under no circumstances should you open the door.
B2,noun,commitment,a promise to do something; dedication,Learning a language requires time and commitment.
B2,noun,concept,an idea or abstract principle,The concept of freedom means different things to different people.
B2,noun,conflict,a serious disagreement or struggle,The conflict between the two departments lasted months.
B2,noun,consideration,careful thought about something,"After careful consideration, we accepted their offer."
B2,noun,contribution,something given to help achieve a result,She made an important contribution to the project.
B2,noun,controversy,public disagreement about something,The new law has caused a lot of controversy.
B2,noun,criterion,a standard used to judge or decide something,Cost is the main criterion for choosing a supplier.
B2,noun,deadline,a time by which something must be finished,The deadline for applications is next Friday.
B2,noun,debt,money that is owed to someone,He is trying to pay off his debts.
B2,noun,democracy,a system in which people elect their government,Free elections are essential to democracy.
B2,noun,emphasis,special importance given to something,The school puts a lot of emphasis on languages.
B2,noun,estimate,a rough calculation of value or amount,The final cost was much higher than the original estimate.
B2,noun,exposure,the state of being affected by something,Too much exposure to the sun can damage your skin.
B2,noun,foundation,the base on which something is built,The course provides a solid foundation in statistics.
B2,noun,framework,a basic structure that supports a system,The agreement provides a framework for future talks.
B2,noun,guideline,a general rule or piece of advice,Follow the safety guidelines when using this machine.
B2,noun,habitat,the natural home of a plant or animal,Cutting down forests destroys the habitat of many species.
B2,noun,hypothesis,an idea that is tested through investigation,The experiment did not support his original hypothesis.
B2,noun,impact,a strong effect or influence,The internet has had a huge impact on education.
B2,noun,implication,a possible result or effect of an action,The implications of the decision are still unclear.
B2,noun,incentive,something that encourages you to do something,Tax cuts give companies an incentive to invest.
B2,noun,agency,an organisation providing a particular service,She found a job through an employment agency.
B2,noun,assessment,the process of judging quality or value,The course includes a written assessment at the end.
B2,noun,authority,the power to make decisions and give orders,Only the manager has the authority to sign the contract.
B2,noun,consequence,a result of a particular action,He must now face the consequences of his decision.
B2,noun,debate,a formal discussion of an issue,There has been much debate about the new tax.
B2,noun,distinction,a clear difference between similar things,There is an important distinction between the two terms.
B2,noun,element,a basic or essential part of something,Trust is an essential element of any relationship.
B2,noun,facility,a building or service provided for a purpose,The sports facilities at the university are excellent.
B2,noun,generation,people of about the same age group,The younger generation uses technology very differently.
B2,noun,initiative,a new plan or action to solve a problem,The government has launched an initiative to reduce waste.
B2,noun,insight,a deep understanding of a complicated situation,Her book gives a fascinating insight into rural life.
B2,noun,outcome,the final result of a process or action,The outcome of the election surprised everyone.
B2,noun,priority,something considered more important than other things,Reducing costs is our top priority this year.
