level,grammar_point,descriptor,example
A2,have to / don't have to,External obligation/necessity,I have to wear a uniform.
A2,should/shouldn't (advice),Give advice,You should see a doctor.
A2,can/can't (permission/rules),Grant/refuse permission,You can park here.
A2,could (past ability),Describe past abilities,I could swim when I was five.
A2,Adverbs of manner (-ly),Describe how actions happen,She drives carefully.
A2,Adverbs of degree (quite/really/too),Modify adjectives/adverbs,It's quite good.
A2,Possessive pronouns (mine/yours/his…),Avoid noun repetition,The red one is mine.
A2,Reflexive pronouns (myself/yourself…),Refer back to the subject,He hurt himself.
A2,Gerund after verbs of preference,Talk about enjoyed activities,I enjoy reading.
A2,Infinitive of purpose,Explain why we do things,I went to the shop to buy milk.
A2,would like + to-infinitive,Express wants politely,I'd like to go home.
A2,Prepositions of movement (to/into/out of/through),Describe direction,She walked into the room.
A2,Conjunctions because/so/when/while,"Link reason, result, time",I stayed home because it rained.
A2,Indefinite compounds (something/anything/nothing),Refer to indefinite things/people,I didn't see anything.
A2,Time adverbials (ago/last/yesterday),Locate events in past time,He left two days ago.
B1,Present perfect: experience (ever/never),Talk about life experiences,Have you ever been to Japan?
B1,Present perfect: just/yet/already,Report recent news,I've just finished.
B1,Present perfect: for/since,Describe duration up to now,I've lived here since 2010.
B1,Present perfect vs past simple,Contrast finished/unfinished time,I saw it yesterday. / I've seen it already.
B1,First conditional,Discuss real future possibilities,"If it rains, we'll stay home."
B1,Second conditional,Discuss hypothetical present/future,"If I had money, I'd travel."
B1,Zero conditional,State general truths,"If you heat ice, it melts."
B1,Passive: present simple,"Focus on process, not agent",English is spoken here.
B1,Passive: past simple,Report agentless past events,The bridge was built in 1900.
B1,Reported speech: statements (backshift),Report what someone said,He said (that) he was tired.
B1,Defining relative clauses (who/which/that),Identify which person/thing,The man who lives next door is a teacher.
B1,Object relative pronoun omission,Build concise relatives,The film (that) I saw was great.
B1,used to (past habits/states),Describe discontinued past,I used to play football.
B1,Past perfect (basic sequencing),Order two past events,"When I arrived, the train had left."
B1,might/may/could (present speculation),Express uncertainty,It might rain later.
B1,must/can't (deduction),Draw logical conclusions,You must be tired.
B1,ought to,Give recommendations,You ought to rest more.
B1,don't have to / needn't,State lack of necessity,You don't have to come if you're busy.
B1,Question tags,Check information; keep conversation going,"It's hot today, isn't it?"
B1,Verb patterns: want/decide/hope + to-inf,Choose infinitive patterns,I decided to leave early.
B1,Verb patterns: enjoy/mind/finish + -ing,Choose gerund patterns,I don't mind waiting.
B1,Gerund as subject,Generalise about activities,Smoking is bad for you.
B1,too + adj + to-inf / adj + enough + to-inf,Express consequence,I'm too tired to go out.
B1,Common phrasal verbs (sep./insep.),Use idiomatic verb-particle combos,"put off a meeting, look after children"
B1,Concession: although/though,Concede a contrasting point,"Although it rained, we went out."
B1,both/neither/either (of),Refer to two items,Neither answer is right.
B1,So do I / Neither do I,Agree without repetition,"""I like jazz."" — ""So do I."""
B1,Future time clauses (when/before/after/as soon as + present),Sequence future events,I'll call you when I arrive.
B1,Zero article for generic plural nouns,Make generalisations,Dogs are friendly animals.
B1,Polite indirect starters (Could you tell me…?),Soften information requests,Could you tell me where the station is?
B2,Present perfect continuous,Duration/results of ongoing activity,I've been working all day.
B2,Past perfect continuous,Duration before a past reference point,She'd been waiting for hours when he arrived.
B2,Third conditional,Speculate about unreal pasts,"If I'd known, I would have come."
B2,Passive: continuous forms,Report ongoing passive events,The road is being repaired.
B2,Passive: perfect forms,Report completed passive events,The work has been finished.
B2,Passive with modal verbs,Passivise obligation/possibility,It can be done today.
B2,wish / if only + past simple,Express present desires/regrets,I wish I lived by the sea.
B2,wish / if only + past perfect,Express past regrets,If only I had studied harder.
B2,used to vs would (past habits),Narrate repeated past actions,We would go swimming every summer.
B2,be/get used to + -ing,Describe familiarity/adaptation,I'm used to getting up early.
B2,Non-defining relative clauses,Add non-essential information,"My brother, who lives in Spain, is visiting."
B2,Relative clauses with prepositions (formal),Formal relative constructions,The person to whom I spoke was helpful.
B2,Reported questions,Report questions with statement order,She asked me where I lived.
B2,Reported orders/requests (tell/ask + to-inf),Report commands/requests,He told me to sit down.
B2,Reporting verbs + pattern (suggest/deny/promise),Report with nuance,She denied taking the money.
B2,Past speculation: could/might/may have + pp,Speculate about the past,He might have missed the bus.
B2,Past deduction: must/can't have + pp,Deduce about the past,It can't have been him.
B2,should/ought to have + pp,Criticise past (in)action,You should have told me.
B2,Future continuous,Action in progress at a future point,This time tomorrow I'll be flying.
B2,Future perfect,Completion before a future point,I'll have finished by Friday.
B2,Conditional conjunctions (unless/provided (that)/as long as),Frame conditions precisely,I'll go as long as you come too.
B2,Gerund vs infinitive: meaning change (stop/remember/try),Signal meaning via pattern choice,I stopped smoking. / I stopped to smoke.
B2,Causative have/get something done,Describe arranged services,I had my car repaired.
B2,Embedded/indirect questions,Ask formally and politely,Do you know what time it starts?
B2,Contrast linkers (despite/in spite of/whereas),Contrast clauses and NPs,"Despite the rain, we went out."
B2,Result linkers (therefore/as a result/consequently),Build text-level cohesion,"It rained; as a result, the match was cancelled."
B2,Correlative conjunctions (neither…nor / either…or / not only…but also),Coordinate paired alternatives,Neither John nor Mary came.
B2,Graded comparison ((not) as…as; the more…the more),Compare proportionally,"The sooner, the better."
B2,Verbs of perception + do/doing,Report perceived events,I saw him crossing the road.
B2,the + adjective (generic groups),Generalise about social groups,The unemployed need more support.
C1,Inversion after negative adverbials,Emphasise formally,Never have I seen such chaos.
C1,Inversion after only + time/condition,Restrict and emphasise,Only then did I understand.
C1,Little did… (negative-verb inversion),Dramatise unawareness,Little did I know what awaited me.
C1,No sooner/hardly/scarcely… than/when,Mark immediate sequence,Hardly had we arrived when it started to rain.
C1,Not only… but also (inversion),Correlative emphasis,"Not only did he apologise, he also refunded us."
C1,So/such + inversion,Emphasise degree + result,So intense was the heat that we stayed inside.
C1,Mixed conditionals,Link past condition to present result,"If I'd saved more, I'd be rich now."
C1,Inverted conditionals (Had/Were/Should + subject),Conditional without if,"Had I known, I'd have acted differently."
C1,If it weren't/hadn't been for,Identify decisive conditions,"If it hadn't been for you, I'd have failed."
C1,It-cleft sentences,Focus one sentence element,It was John who called.
C1,Pseudo-cleft (what-cleft),Thematise information,What I need is a holiday.
C1,Impersonal passive reporting (It is said that…),Report claims with distance,It is believed that he left the country.
C1,Personal passive reporting (is said to + inf),Attribute claims to subjects,She is thought to be the best candidate.
C1,needn't have + pp vs didn't need to,Unnecessary past actions,You needn't have cooked — we'd already eaten.
C1,should/might/could have (criticism/reproach),Evaluate past choices,You might have told me!
C1,Modal + continuous infinitive (must be doing),Speculate about ongoing events,He must be working late.
C1,Participle clauses (present/perfect),Combine clauses concisely,"Having finished her work, she left early."
C1,Reduced relative clauses,Replace relative with participle,Anyone wanting a ticket should apply early.
C1,Passive gerund (being done / having been done),Layer voice on non-finite forms,He resents being told what to do.
C1,whatever/whoever/whichever clauses,Express free choice,Whatever you decide is fine with me.
C1,Unreal past: It's (high) time + past,Urge overdue action,It's high time we left.
C1,would rather + subject + past,State preferences about others' actions,I'd rather you didn't smoke in here.
C1,Future in the past (was going to / was to),Report past perspective on later events,"I was going to call, but I forgot."
C1,Narrative tense interplay,Weave past simple/continuous/perfect,The sun was shining; it had been a perfect morning.
C1,"Formal discourse markers (moreover, nevertheless, consequently)",Organise academic argument,"The cost is high; nevertheless, it is justified."
C1,"Complex prepositional phrases (in terms of, with regard to, on behalf of)",Frame formal relations,With regard to your query of 5 May…
C1,Ellipsis & substitution (I hope so; do so),Avoid repetition cohesively,"He promised to help, and he did so."
C1,"Reporting verbs + -ing (accuse…of, insist on, blame…for)",Sophisticated reporting,She insisted on paying for dinner.
C1,Complex comparison (by far / nothing like / not nearly as),Grade comparisons precisely,This is by far the best option.
C1,"Advanced quantifier nuance (the whole, every single, all but)",Fine-tune scope,All but three students passed.
C2,Mandative subjunctive (that + base form),Make formal demands/recommendations,They demanded that he resign immediately.
C2,"Fixed subjunctive formulae (be that as it may, suffice it to say)",Deploy fossilised subjunctives,"Be that as it may, the fact remains."
C2,"Fronted negative/restrictive inversion (Under no circumstances, On no account)",Control register and emphasis,Under no circumstances are you to leave the building.
C2,Concessive inversion with as/though (adj/adv fronting),Concede emphatically,"Strange as it may seem, it's true."
C2,Concession with much as,Strong concession with volition verbs,"Much as I admire her work, she's wrong here."
C2,Concession with albeit,Concede concisely (adverbial),"It was a successful, albeit brief, experiment."
C2,However + adjective/adverb concession,Concede any degree,"However hard he tried, he couldn't open it."
C2,Nominalisation (verb/adjective → noun phrases),Write concise academic prose,The rapid implementation of the reforms provoked debate.
C2,"Lexical hedging (would suggest, tend to, appear/seem to)",Make tentative claims,The data would appear to support the hypothesis.
C2,Impersonal stance frames (It could be argued that…),Hedge via impersonalisation,It could be argued that the policy failed.
C2,Perfect passive reporting (is said to have done),Report with past reference,He is rumoured to have resigned.
C2,Ellipsis in adverbial clauses (when/while/if + adj/pp),Economise in formal writing,"When in doubt, consult the manual."
C2,Advanced ellipsis: sluicing/stripping,Omit recoverable material,"He wants to resign, though I don't know why."
C2,Archaic/purpose lest,Negative purpose (formal/literary),He left early lest he be recognised.
C2,Counterfactual frames: but for / were it not for,Formal counterfactual conditions,"But for your help, we would have failed."
C2,Cleft variants: all-cleft / reversed pseudo-cleft,Flexible information focus,All I want is some peace.
C2,Object/complement fronting (topicalisation),Manage discourse topics,That I cannot accept.
C2,Absolute (nominative) constructions,Literary adjunct clauses,"The meeting over, everyone drifted home."
C2,Inversion after place adverbials,Descriptive/literary staging,On the hill stood a lonely house.
C2,Not a + noun inversion (emphatic negation),Rhetorical negation,Not a word did he say.
C2,Modal idiom: may well / might (just) as well,Nuanced likelihood/resignation,It may well rain; we might as well stay.
C2,Literary wish: would that + clause,Archaic expression of desire,Would that it were true!
C2,Conditional frames: supposing/assuming (that),Tentative hypothetical framing,Supposing he refuses — what then?
C2,Complex noun phrases: stacked pre-/post-modification,Dense academic reference,"a recently published, peer-reviewed longitudinal study"
C2,"Stance adverbials (arguably, purportedly, allegedly)",Signal evidentiality/attitude,He allegedly falsified the data.
C2,Double genitive,Nuanced possession/association,an old friend of mine
C2,"there + verbs other than be (there exist, there remain)",Formal existential statements,There remains one unresolved problem.
C2,Extraposition with gerund/infinitive subjects,Manage heavy subjects,It was no use crying over spilt milk.
C2,"Determiner minimisers (what little, the few)",Emphasise scarcity,What little money we had was stolen.
C2,Colloquial ellipsis (situational subject/aux drop),Register-appropriate economy,Want a lift? Seen my keys?
