level,skill,descriptor
A2,listening,"Can understand straightforward announcements (e.g. of a cinema programme or sports event, that a train has been delayed), provided the delivery is slow and clear."
A2,listening,"Can understand and extract the essential information from short, recorded passages dealing with predictable everyday matters which are delivered slowly and clearly."
A2,listening,"Can extract important information from short broadcasts (e.g. the weather forecast, concert announcements, sports results), provided people talk clearly."
A2,listening,"Can identify the main point of TV news items reporting events, accidents, etc. where the visuals support the commentary."
A2,reading,"Can understand short, simple texts on familiar matters of a concrete type which consist of high frequency everyday or job-related language."
A2,reading,"Can understand short, simple texts containing the highest frequency vocabulary, including a proportion of shared international vocabulary items."
A2,reading,"Can understand short, simple personal letters; can understand very simple formal e-mails and letters (e.g. confirmation of a booking or online purchase)."
A2,reading,"Can find specific, predictable information in simple everyday material such as advertisements, prospectuses, menus, reference lists and timetables."
A2,reading,Can locate specific information in lists and isolate the information required (e.g. use the Yellow Pages to find a service or tradesman).
A2,reading,"Can understand everyday signs and notices in public places (streets, restaurants, railway stations) and in workplaces (directions, instructions, hazard warnings)."
A2,reading,"Can identify specific information in simpler material they encounter such as letters, brochures and short news articles describing events."
A2,reading,"Can understand the main points of short texts dealing with everyday topics (e.g. lifestyle, hobbies, sports, weather)."
A2,reading,"Can understand simple instructions on equipment encountered in everyday life — such as a public telephone; can follow a simple recipe, especially if there are pictures to illustrate the most important steps."
A2,reading,"Can understand enough to read short, simple stories and comic strips involving familiar, concrete situations described in high frequency everyday language."
A2,spoken_interaction,"Can interact with reasonable ease in structured situations and short conversations, provided the other person helps if necessary."
A2,spoken_interaction,"Can manage simple, routine exchanges without undue effort; can ask and answer questions and exchange ideas and information on familiar topics in predictable everyday situations."
A2,spoken_interaction,Can communicate in simple and routine tasks requiring a simple and direct exchange of information on familiar and routine matters to do with work and free time.
A2,spoken_interaction,Can handle very short social exchanges but is rarely able to understand enough to keep conversation going of their own accord.
A2,spoken_interaction,"Can establish social contact (e.g. greetings and farewells, introductions, giving thanks); can make and respond to invitations, suggestions and apologies."
A2,spoken_interaction,"Can participate in short conversations in routine contexts on topics of interest; can express how they feel in simple terms, and express thanks."
A2,spoken_interaction,"Can discuss what to do, where to go and make arrangements to meet; can agree and disagree with others; can make and respond to suggestions."
A2,spoken_interaction,Can ask for and provide everyday goods and services; can make simple purchases by stating what is wanted and asking the price; can order a meal.
A2,spoken_interaction,"Can ask and answer questions about habits and routines, pastimes and past activities; can give and follow simple directions and instructions, e.g. explain how to get somewhere."
A2,spoken_interaction,"Can, given repetition and clarifications, participate in a short, simple phone conversation with a known person on a predictable topic (e.g. arrival times, arrangements to meet)."
A2,spoken_production,"Can give a simple description or presentation of people, living or working conditions, daily routines, likes/dislikes, etc. as a short series of simple phrases and sentences linked into a list."
A2,spoken_production,Can tell a story or describe something in a simple list of points.
A2,spoken_production,"Can describe everyday aspects of their environment, e.g. people, places, a job or study experience."
A2,spoken_production,"Can describe plans and arrangements, habits and routines, past activities and personal experiences."
A2,spoken_production,"Can describe their family, living conditions, educational background, present or most recent job; can describe people, places and possessions in simple terms."
A2,spoken_production,Can use simple descriptive language to make brief statements about and compare objects and possessions; can explain what they like or dislike about something.
A2,spoken_production,"Can give simple directions on how to get from X to Y, using basic expressions such as ""turn right"" and ""go straight"", along with sequential connectors such as ""first"", ""then"" and ""next""."
A2,spoken_production,"Can explain why they prefer one thing to another, making simple, direct comparisons; can present their opinion in simple terms, provided interlocutors are patient."
A2,spoken_production,"Can give a short, rehearsed, basic presentation on a familiar subject; can cope with a limited number of straightforward follow-up questions."
A2,spoken_production,"Can deliver very short, rehearsed announcements of predictable, learnt content which are intelligible to recipients who are prepared to concentrate."
A2,writing,"Can produce a series of simple phrases and sentences linked with simple connectors like ""and"", ""but"" and ""because""."
A2,writing,"Can describe everyday aspects of their environment, e.g. people, places, a job or study experience in linked sentences."
A2,writing,"Can give very short, basic descriptions of events, past activities and personal experiences."
A2,writing,"Can produce a series of simple phrases and sentences about their family, living conditions, educational background, or present or most recent job."
A2,writing,"Can create short, simple imaginary biographies and simple poems about people."
A2,writing,"Can produce simple texts on familiar subjects of interest, linking sentences with connectors like ""and"", ""because"" or ""then""."
A2,writing,"Can compose short, simple formulaic notes relating to matters in areas of immediate need."
A2,writing,Can compose very simple personal letters expressing thanks and apology.
A2,writing,"Can compose short, simple notes, e-mails and text messages (e.g. to send or reply to an invitation, to confirm or change an arrangement)."
A2,writing,"Can fill in personal and other details on most everyday forms (e.g. to open a bank account, or to send a letter by recorded delivery)."
B1,listening,"Can understand the main points made in clear standard language or a familiar variety on familiar matters regularly encountered at work, school, leisure, etc., including short narratives."
B1,listening,"Can understand straightforward factual information about common everyday or job-related topics, identifying both general messages and specific details, provided people articulate clearly in a generally familiar variety."
B1,listening,"Can follow much of everyday conversation and discussion, provided it is clearly articulated in standard language or in a familiar variety."
B1,listening,"Can follow a lecture or talk within their own field, provided the subject matter is familiar and the presentation straightforward and clearly structured."
B1,listening,"Can follow in outline straightforward short talks on familiar topics, provided these are delivered in clearly articulated standard language or a familiar variety."
B1,listening,"Can understand simple technical information, such as operating instructions for everyday equipment; can follow detailed directions."
B1,listening,"Can understand public announcements at airports, stations and on planes, buses and trains, provided these are clearly articulated with minimum interference from background noise."
B1,listening,Can understand the information content of the majority of recorded or broadcast material on topics of personal interest delivered in clear standard language.
B1,listening,Can understand the main points of news bulletins and simpler recorded material about familiar subjects delivered relatively slowly and clearly.
B1,listening,"Can understand a large part of many TV programmes on topics of personal interest (interviews, short lectures, news reports) when the delivery is relatively slow and clear; can follow many films in which visuals and action carry much of the storyline, and which are delivered clearly in straightforward language."
B1,reading,Can read straightforward factual texts on subjects related to their field of interest with a satisfactory level of comprehension.
B1,reading,"Can understand the description of events, feelings and wishes in personal letters well enough to correspond regularly with a pen friend."
B1,reading,Can understand standard formal correspondence and online postings in their area of professional interest.
B1,reading,"Can scan longer texts in order to locate desired information, and gather information from different parts of a text, or from different texts in order to fulfil a specific task."
B1,reading,"Can find and understand relevant information in everyday material, such as letters, brochures and short official documents."
B1,reading,"Can understand straightforward, factual texts on subjects relating to their interests or studies."
B1,reading,"Can identify the main conclusions in clearly signalled argumentative texts; can recognise the line of argument in the treatment of the issue presented, though not necessarily in detail."
B1,reading,Can recognise significant points in straightforward news articles on familiar subjects.
B1,reading,"Can understand clearly expressed, straightforward instructions for a piece of equipment; can follow simple instructions given on packaging (e.g. cooking instructions)."
B1,reading,"Can follow the plot of stories, simple novels and comics with a clear linear storyline and high frequency everyday language, given regular use of a dictionary."
B1,spoken_interaction,Can communicate with some confidence on familiar routine and non-routine matters related to their interests and professional field.
B1,spoken_interaction,"Can exchange, check and confirm information, deal with less routine situations and explain why something is a problem."
B1,spoken_interaction,Can exploit a wide range of simple language to deal with most situations likely to arise while travelling.
B1,spoken_interaction,"Can enter unprepared into conversation on familiar topics, and express personal opinions and exchange information on topics that are familiar, of personal interest or pertinent to everyday life (e.g. family, hobbies, work, travel and current events)."
B1,spoken_interaction,"Can express thoughts on more abstract, cultural topics such as films, books, music, etc."
B1,spoken_interaction,"Can follow clearly articulated speech directed at them in everyday conversation, though will sometimes have to ask for repetition of particular words and phrases."
B1,spoken_interaction,"Can express and respond to feelings such as surprise, happiness, sadness, interest and indifference."
B1,spoken_interaction,"Can give or seek personal views and opinions in discussing topics of interest; can express beliefs, opinions and agreement and disagreement politely."
B1,spoken_interaction,"Can take part in routine formal discussion of familiar subjects conducted in clearly articulated standard language, involving the exchange of factual information, receiving instructions or the discussion of solutions to practical problems."
B1,spoken_interaction,"Can deal with most transactions likely to arise while travelling; can cope with less routine situations in shops, post offices, banks, e.g. returning an unsatisfactory purchase; can make a complaint."
B1,spoken_interaction,"Can provide concrete information required in an interview/consultation (e.g. describe symptoms to a doctor), but with limited precision."
B1,spoken_production,"Can reasonably fluently sustain a straightforward description of one of a variety of subjects within their field of interest, presenting it as a linear sequence of points."
B1,spoken_production,Can give straightforward descriptions on a variety of familiar subjects within their field of interest.
B1,spoken_production,Can reasonably fluently relate a straightforward narrative or description as a sequence of points.
B1,spoken_production,"Can give detailed accounts of experiences, describing feelings and reactions."
B1,spoken_production,"Can relate the plot of a book or film and describe their reactions; can narrate a story; can describe dreams, hopes and ambitions."
B1,spoken_production,"Can relate details of unpredictable occurrences, e.g. an accident; can describe events, real or imagined."
B1,spoken_production,"Can explain the main points in an idea or problem with reasonable precision; can describe how to do something, giving detailed instructions."
B1,spoken_production,"Can briefly give reasons and explanations for opinions, plans and actions; can give simple reasons to justify a viewpoint on a familiar topic."
B1,spoken_production,"Can give a prepared straightforward presentation on a familiar topic within their field which is clear enough to be followed without difficulty most of the time, and in which the main points are explained with reasonable precision."
B1,spoken_production,"Can deliver short, rehearsed announcements on a topic pertinent to everyday occurrences in their field which are nevertheless clearly intelligible."
B1,writing,"Can produce straightforward connected texts on a range of familiar subjects within their field of interest, by linking a series of shorter discrete elements into a linear sequence."
B1,writing,"Can give accounts of experiences, describing feelings and reactions in simple, connected text."
B1,writing,"Can give straightforward, detailed descriptions on a range of familiar subjects within their field of interest; can narrate a story; can clearly signal chronological sequence in narrative text."
B1,writing,"Can give a simple review of a film, book or TV programme using a limited range of language."
B1,writing,"Can produce short, simple essays on topics of interest."
B1,writing,"Can produce a text on a topical subject of personal interest, using simple language to list advantages and disadvantages, and give and justify their opinion."
B1,writing,"Can produce very brief reports in a standard conventionalised format, which pass on routine factual information and state reasons for actions."
B1,writing,"Can convey information and ideas on abstract as well as concrete topics, check information, and ask about or explain problems with reasonable precision."
B1,writing,"Can compose personal letters describing experiences, feelings and events in some detail; can compose basic formal e-mails/letters (e.g. to make a complaint and request action)."
B1,writing,"Can formulate notes conveying simple information of immediate relevance to friends, service people, teachers and others, getting across comprehensibly the points they feel are important; can take routine messages."
B2,listening,"Can understand standard language or a familiar variety, live or broadcast, on both familiar and unfamiliar topics normally encountered in personal, social, academic or vocational life; only extreme background noise, inadequate discourse structure and/or idiomatic usage influence the ability to understand."
B2,listening,"Can understand the main ideas of propositionally and linguistically complex discourse on both concrete and abstract topics delivered in standard language or a familiar variety, including technical discussions in their field of specialisation."
B2,listening,"Can follow extended discourse and complex lines of argument, provided the topic is reasonably familiar, and the direction of the argument is signposted by explicit markers."
B2,listening,Can keep up with an animated conversation between proficient users of the target language.
B2,listening,Can identify the main reasons for and against an argument or idea in a discussion conducted in clear standard language or a familiar variety; can follow chronological sequence in extended informal discourse (e.g. a story or anecdote).
B2,listening,"Can follow the essentials of lectures, talks and reports and other forms of academic/professional presentation which are propositionally and linguistically complex."
B2,listening,Can understand announcements and messages on concrete and abstract topics delivered in standard language or a familiar variety at normal speed.
B2,listening,"Can understand recordings in the standard form of the language likely to be encountered in social, professional or academic life and identify viewpoints and attitudes as well as the information content."
B2,listening,"Can understand most documentaries and most other recorded or broadcast material delivered in the standard form of the language and can identify mood, attitude, etc."
B2,listening,"Can understand most TV news and current affairs programmes; can understand documentaries, live interviews, talk shows, plays and the majority of films in the standard form of the language or a familiar variety."
B2,reading,"Can read with a large degree of independence, adapting style and speed of reading to different texts and purposes, and using appropriate reference sources selectively; has a broad active reading vocabulary, but may experience some difficulty with low-frequency idioms."
B2,reading,Can read correspondence relating to their field of interest and readily grasp the essential meaning.
B2,reading,Can understand what is said in a personal e-mail or posting even where some colloquial language is used.
B2,reading,"Can scan quickly through long and complex texts, locating relevant details."
B2,reading,"Can quickly identify the content and relevance of news items, articles and reports on a wide range of professional topics, deciding whether closer study is worthwhile."
B2,reading,"Can obtain information, ideas and opinions from highly specialised sources within their field."
B2,reading,"Can understand specialised articles outside their field, provided they can use a dictionary occasionally to confirm their interpretation of terminology."
B2,reading,Can understand articles and reports concerned with contemporary problems in which particular stances or viewpoints are adopted; can recognise when a text provides factual information and when it seeks to convince readers of something.
B2,reading,"Can understand lengthy, complex instructions in their field, including details on conditions and warnings, provided they can reread difficult sections."
B2,reading,"Can read for pleasure with a large degree of independence, adapting style and speed to different texts (magazines, more straightforward novels, history books, biographies, travelogues, guides, lyrics, poems)."
B2,spoken_interaction,"Can use the language fluently, accurately and effectively on a wide range of general, academic, vocational or leisure topics, marking clearly the relationships between ideas."
B2,spoken_interaction,"Can communicate spontaneously with good grammatical control without much sign of having to restrict what they want to say, adopting a level of formality appropriate to the circumstances."
B2,spoken_interaction,"Can interact with a degree of fluency and spontaneity that makes regular interaction, and sustained relationships with users of the target language, quite possible without imposing strain on either party."
B2,spoken_interaction,"Can highlight the personal significance of events and experiences, and account for and sustain views clearly by providing relevant explanations and arguments."
B2,spoken_interaction,Can understand in detail what is said to them in the standard language or a familiar variety even in a noisy environment.
B2,spoken_interaction,"Can engage in extended conversation on most general topics in a clearly participatory fashion, even in a noisy environment; can convey degrees of emotion and highlight the personal significance of events and experiences."
B2,spoken_interaction,"Can take an active part in informal discussion in familiar contexts, commenting, putting a point of view clearly, evaluating alternative proposals and making and responding to hypotheses."
B2,spoken_interaction,"Can express their ideas and opinions with precision, and present and respond to complex lines of argument convincingly; can participate actively in routine and non-routine formal discussion."
B2,spoken_interaction,"Can outline an issue or a problem clearly, speculating about causes or consequences, and weighing advantages and disadvantages of different approaches."
B2,spoken_interaction,"Can cope linguistically to negotiate a solution to a dispute (e.g. an undeserved traffic ticket, financial responsibility for damage in a flat, or blame regarding an accident); can outline a case for compensation, using persuasive language."
B2,spoken_interaction,Can understand and exchange complex information and advice on the full range of matters related to their occupational role; can pass on detailed information reliably.
B2,spoken_interaction,"Can carry out an effective, fluent interview, departing spontaneously from prepared questions, following up and probing interesting replies."
B2,spoken_production,"Can give clear, systematically developed descriptions and presentations, with appropriate highlighting of significant points, and relevant supporting detail."
B2,spoken_production,"Can give clear, detailed descriptions and presentations on a wide range of subjects related to their field of interest, expanding and supporting ideas with subsidiary points and relevant examples."
B2,spoken_production,"Can give clear, detailed descriptions on a wide range of subjects related to their field of interest; can describe the personal significance of events and experiences in detail."
B2,spoken_production,Can communicate complex information and advice on the full range of matters related to their occupational role; can communicate detailed information reliably.
B2,spoken_production,"Can give a clear, detailed description of how to carry out a procedure."
B2,spoken_production,"Can develop an argument systematically with appropriate highlighting of significant points, and relevant supporting detail."
B2,spoken_production,"Can develop a clear argument, expanding and supporting their points of view at some length with subsidiary points and relevant examples; can construct a chain of reasoned argument."
B2,spoken_production,Can explain a viewpoint on a topical issue giving the advantages and disadvantages of various options.
B2,spoken_production,"Can give a clear, prepared presentation, giving reasons in support of or against a particular point of view and giving the advantages and disadvantages of various options; can take a series of follow-up questions with a degree of fluency and spontaneity which poses no strain for either party."
B2,spoken_production,"Can deliver announcements on most general topics with a degree of clarity, fluency and spontaneity which causes no strain or inconvenience to the recipient."
B2,writing,"Can produce clear, detailed texts on a variety of subjects related to their field of interest, synthesising and evaluating information and arguments from a number of sources."
B2,writing,"Can give clear, detailed descriptions of real or imaginary events and experiences marking the relationship between ideas in clear connected text, and following established conventions of the genre concerned."
B2,writing,"Can give a review of a film, book or play."
B2,writing,Can produce an essay or report which develops an argument systematically with appropriate highlighting of significant points and relevant supporting detail.
B2,writing,"Can produce an essay or report which develops an argument, giving reasons in support of or against a particular point of view and explaining the advantages and disadvantages of various options; can evaluate different ideas or solutions to a problem."
B2,writing,"Can express news and views effectively in writing, and relate to those of others."
B2,writing,Can compose letters conveying degrees of emotion and highlighting the personal significance of events and experiences and commenting on the correspondent's news and views; can use formality and conventions appropriate to the context in personal and professional letters and e-mails.
B2,writing,"(B2+) Can compose formal correspondence such as letters of enquiry, request, application and complaint using appropriate register, structure and conventions."
B2,writing,"(B2+) Can compose a forceful but polite letter of complaint, including supporting details and a statement of the desired outcome."
B2,writing,"Can take or leave complex personal or professional messages, provided they can ask for clarification or elaboration if necessary."
C1,listening,"Can understand enough to follow extended discourse on abstract and complex topics beyond their own field, though they may need to confirm occasional details, especially if the variety is unfamiliar."
C1,listening,"Can recognise a wide range of idiomatic expressions and colloquialisms, appreciating register shifts."
C1,listening,Can follow extended discourse even when it is not clearly structured and when relationships are only implied and not signalled explicitly.
C1,listening,"Can easily follow complex interactions between third parties in group discussion and debate, even on abstract, complex, unfamiliar topics."
C1,listening,"Can identify the attitude of each participant in an animated discussion characterised by overlapping turns, digressions and colloquialisms that is delivered at a natural speed in familiar varieties."
C1,listening,"Can follow most lectures, discussions and debates with relative ease."
C1,listening,"Can extract specific information from poor quality, distorted public announcements (e.g. in a station or sports stadium, or on an old recording); can understand complex technical information, such as operating instructions or specifications for familiar products and services."
C1,listening,"Can understand a wide range of recorded and broadcast material, including some non-standard usage, and identify finer points of detail including implicit attitudes and relationships between people."
C1,listening,Can follow films employing a considerable degree of slang and idiomatic usage.
C1,listening,"Can understand nuances and implied meaning in most films, plays and TV programmes, provided these are delivered in standard language or a familiar variety."
C1,reading,"Can understand in detail lengthy, complex texts, whether or not these relate to their own area of speciality, provided they can reread difficult sections."
C1,reading,"Can understand a wide variety of texts including literary writings, newspaper or magazine articles, and specialised academic or professional publications, provided there are opportunities for rereading and they have access to reference tools."
C1,reading,Can understand any correspondence given the occasional use of a dictionary.
C1,reading,"Can understand implicit as well as explicit attitudes, emotions and opinions expressed in e-mails, discussion forums, vlogs/blogs, etc., provided there are opportunities for rereading and they have access to reference tools."
C1,reading,"Can understand slang, idiomatic expressions and jokes in private correspondence."
C1,reading,"Can understand in detail a wide range of lengthy, complex texts likely to be encountered in social, professional or academic life, identifying finer points of detail including attitudes and implied as well as stated opinions."
C1,reading,"Can understand in detail lengthy, complex instructions on a new machine or procedure, whether or not the instructions relate to their own area of speciality, provided they can reread difficult sections."
C1,reading,"Can read and appreciate a variety of literary texts, provided they can reread certain sections and can access reference tools; can read contemporary literary texts and non-fiction in the standard form of the language or a familiar variety with little difficulty and with appreciation of implicit meanings and ideas."
C1,spoken_interaction,"Can express themselves fluently and spontaneously, almost effortlessly."
C1,spoken_interaction,"Has a good command of a broad lexical repertoire allowing gaps to be readily overcome with circumlocutions; there is little obvious searching for expressions or avoidance strategies; only a conceptually difficult subject can hinder a natural, smooth flow of language."
C1,spoken_interaction,"Can understand an interlocutor in detail on abstract and complex topics of a specialist nature beyond their own field, though they may need to confirm occasional details, especially if the variety is unfamiliar."
C1,spoken_interaction,"Can use language flexibly and effectively for social purposes, including emotional, allusive and joking usage."
C1,spoken_interaction,"Can easily follow and contribute to complex interactions between third parties in group discussion even on abstract, complex unfamiliar topics."
C1,spoken_interaction,"Can easily keep up with the debate, even on abstract, complex, unfamiliar topics."
C1,spoken_interaction,"Can argue a formal position convincingly, responding to questions and comments and answering complex lines of counter-argument fluently, spontaneously and appropriately."
C1,spoken_interaction,"Can frame a discussion to decide on a course of action with a partner or group, reporting on what others have said, and summarising, elaborating and weighing up multiple points of view."
C1,spoken_interaction,"Can negotiate complex or sensitive transactions in public, professional or academic life."
C1,spoken_interaction,"Can participate fully in an interview, as either interviewer or interviewee, expanding and developing the point being discussed fluently without any support, and handling interjections well."
C1,spoken_interaction,Can use telecommunications effectively for most professional or personal purposes.
C1,spoken_production,"Can give clear, detailed descriptions and presentations on complex subjects, integrating sub-themes, developing particular points and rounding off with an appropriate conclusion."
C1,spoken_production,"Can give elaborate descriptions and narratives, integrating sub-themes, developing particular points and rounding them off with an appropriate conclusion."
C1,spoken_production,"Can communicate clearly detailed distinctions between ideas, concepts and things that closely resemble one another."
C1,spoken_production,Can give instructions on carrying out a series of complex professional or academic procedures.
C1,spoken_production,"Can argue a case on a complex issue, formulating points precisely and employing emphasis effectively."
C1,spoken_production,"Can develop an argument systematically in well-structured language, taking into account the interlocutor's perspective, highlighting significant points with supporting examples and concluding appropriately."
C1,spoken_production,"Can give a clear, well-structured presentation on a complex subject, expanding and supporting points of view at some length with subsidiary points, reasons and relevant examples."
C1,spoken_production,"Can structure a longer presentation appropriately in order to help the audience follow the sequence of ideas and understand the overall argumentation; can handle interjections well, responding spontaneously and almost effortlessly."
C1,spoken_production,"Can deliver announcements fluently, almost effortlessly, using stress and intonation to convey finer shades of meaning precisely."
C1,writing,"Can produce clear, well-structured texts of complex subjects, underlining the relevant salient issues, expanding and supporting points of view at some length with subsidiary points, reasons and relevant examples, and rounding off with an appropriate conclusion."
C1,writing,"Can employ the structure and conventions of a variety of genres, varying the tone, style and register according to addressee, text type and theme."
C1,writing,"Can produce clear, detailed, well-structured and developed descriptions and imaginative texts in an assured, personal, natural style appropriate to the reader in mind."
C1,writing,"Can give a detailed critical review of cultural events (e.g. plays, films, concerts) or literary works."
C1,writing,"Can produce clear, well-structured expositions of complex subjects, underlining the relevant salient issues; can expand and support points of view at some length with subsidiary points, reasons and relevant examples."
C1,writing,"Can produce a suitable introduction and conclusion to a longer report, article or dissertation on a complex academic or professional topic, provided the topic is within their field of interest and there are opportunities for redrafting and revision."
C1,writing,"Can express themselves with clarity and precision, relating to the addressee flexibly and effectively."
C1,writing,"Can express themselves with clarity and precision in personal correspondence, using language flexibly and effectively, including emotional, allusive and joking usage."
C1,writing,"Can, with good expression and accuracy, compose formal correspondence such as letters of clarification, application, recommendation, reference, complaint, sympathy and condolence."
C2,listening,"Can understand with ease virtually any kind of language, whether live or broadcast, delivered at fast natural speed."
C2,listening,Can identify the sociocultural implications of most of the language used in colloquial discussions that take place at a natural speed.
C2,listening,"Can follow specialised lectures and presentations employing colloquialism, regional usage or unfamiliar terminology."
C2,listening,Can make appropriate inferences when links or implications are not made explicit.
C2,listening,Can get the point of jokes or allusions in a presentation.
C2,reading,"Can understand virtually all types of texts including abstract, structurally complex, or highly colloquial literary and non-literary writings."
C2,reading,"Can understand a wide range of long and complex texts, appreciating subtle distinctions of style and implicit as well as explicit meaning."
C2,reading,"Can understand specialised, formal correspondence on a complex topic."
C2,reading,Can understand the finer points and implications of a complex report or article even outside their area of specialisation.
C2,reading,"Can read virtually all forms of texts including classical or colloquial literary and non-literary texts in different genres, appreciating subtle distinctions of style and implicit as well as explicit meaning."
C2,spoken_interaction,Has a good command of idiomatic expressions and colloquialisms with awareness of connotative levels of meaning.
C2,spoken_interaction,"Can convey finer shades of meaning precisely by using, with reasonable accuracy, a wide range of modification devices."
C2,spoken_interaction,Can backtrack and restructure around a difficulty so smoothly that the interlocutor is hardly aware of it.
C2,spoken_interaction,"Can understand any interlocutor, even on abstract and complex topics of a specialist nature beyond their own field, given an opportunity to adjust to a less familiar variety."
C2,spoken_interaction,"Can converse comfortably and appropriately, unhampered by any linguistic limitations in conducting a full social and personal life."
C2,spoken_interaction,"Can advise on or discuss sensitive issues without awkwardness, understanding colloquial references and dealing diplomatically with disagreement and criticism."
C2,spoken_interaction,"Can hold their own in formal discussion of complex issues, putting an articulate and persuasive argument, at no disadvantage to other participants."
C2,spoken_interaction,"Can deal with hostile questioning confidently, hold on to the turn and diplomatically rebut counter-arguments."
C2,spoken_interaction,"Can keep up their side of the dialogue extremely well, structuring the discourse and interacting authoritatively with effortless fluency as interviewer or interviewee, at no disadvantage to other participants."
C2,spoken_interaction,"Can use telecommunications confidently and effectively for both personal and professional purposes, even if there is some interference (noise) or the caller has a less familiar accent."
C2,spoken_production,"Can produce clear, smoothly flowing, well-structured discourse with an effective logical structure which helps the recipient to notice and remember significant points."
C2,spoken_production,"Can give clear, smoothly flowing, elaborate and often memorable descriptions."
C2,spoken_production,"Can present a complex topic confidently and articulately to an audience unfamiliar with it, structuring and adapting the talk flexibly to meet the audience's needs."
C2,spoken_production,Can handle difficult and even hostile questioning.
C2,writing,"Can produce clear, smoothly flowing, complex texts in an appropriate and effective style and a logical structure which helps the reader identify significant points."
C2,writing,"Can relate clear, smoothly flowing and engaging stories and descriptions of experience in a style appropriate to the genre adopted; can exploit idiom and humour appropriately to enhance the impact of the text."
